population,households,median_income,median_house_value,total_bedrooms,latitude,longitude,housing_median_age,,,
970,384,38542,82100,433,36.110297100000004,-79.4395788,50,,,
1019,383,30625,107900,429,36.0734185,-79.4065332,42,,,
1040,552,19318,90800,592,36.0741823,-79.3940845,52,,,
1690,693,30478,81800,693,36.080374299999995,-79.3956256,57,,,
424,232,20667,74800,257,36.0993598,-79.4265346,61,,,
1099,405,24913,70700,527,36.088481099999996,-79.42369,64,,,
1146,385,35625,79800,434,36.088959700000004,-79.4121098,62,,,
999,361,55875,113300,400,36.2182327,-79.2795166,27,,,
1273,504,43750,110500,581,36.2042117,-79.3043245,33,,,
1380,535,52583,141200,535,36.135409499999994,-79.5054593,24,,,
2150,717,58322,145300,755,36.1093217,-79.5255902,20,,,
1792,754,36786,139600,790,36.143659299999996,-79.4004744,53,,,
945,443,58098,206900,459,36.2177578,-79.4015592,44,,,
1414,552,69868,165400,593,36.215377200000006,-79.4863698,25,,,
1138,408,52083,113800,440,36.1938775,-79.5066461,38,,,
1695,568,33056,85600,623,36.114519,-79.4209419,44,,,
2866,998,45612,132800,1026,36.1290602,-79.4352637,38,,,
3062,506,56538,280800,506,36.1183311,-79.5027351,26,,,
895,446,78125,237900,446,36.0475432,-79.2749703,27,,,
2685,935,53906,153600,992,36.04411270000001,-79.3189482,26,,,
2764,965,36746,89200,982,36.0899761,-79.3879819,39,,,
1078,421,,9999,434,36.1128804,-79.4081569,37,,,
1068,347,32786,,435,36.10188529999999,-79.4130232,56,,,
1882,781,37569,102400,854,36.1139331,-79.3680013,40,,,
1224,458,29833,115200,531,36.0757433,-79.3565903,52,,,
1136,445,47679,167800,504,35.868880100000005,-79.4406271,35,,,
1522,596,61500,151800,652,36.0133874,-79.3826015,33,,,
2005,706,76048,203600,794,35.9706785,-79.3706321,24,,,
1034,478,59667,158100,588,35.9384862,-79.39136,34,,,
1665,673,51194,122100,716,35.919034100000005,-79.3395123,21,,,
649,291,49450,147200,323,35.9081496,-79.2840592,31,,,
2152,841,61932,135900,892,35.8648152,-79.3221879,20,,,
1060,492,41008,132100,560,35.97873,-79.3004464,28,,,
1808,706,64286,214900,750,36.020843,-79.3517007,40,,,
2236,889,61042,155000,889,35.9925369,-79.3213316,21,,,
1781,723,48281,163500,758,36.014390500000005,-79.2788163,24,,,
1375,540,54375,137000,585,35.934391299999994,-79.280941,23,,,
630,444,45833,156900,444,36.08432379999999,-79.5212086,29,,,
1652,311,,,311,36.101857700000004,-79.504516,25,,,
2694,976,95000,343800,986,36.0881757,-79.5056871,23,,,
3029,1352,71646,266600,1366,36.0441135,-79.5126227,13,,,
3220,1399,48598,197500,1432,36.0743638,-79.5183208,19,,,
1421,541,54659,217900,593,35.98650870000001,-79.5056476,45,,,
859,388,39000,136800,466,35.9365201,-79.4991098,39,,,
1707,691,54886,150200,754,35.939036,-79.4437274,34,,,
1817,705,37656,148700,735,35.8874528,-79.5116931,33,,,
1388,663,29492,149400,688,36.099124700000004,-79.4483765,67,,,
952,506,45000,167200,630,36.0922109,-79.4507937,73,,,
1007,380,18182,,380,36.083537400000004,-79.4454912,59,,,
492,283,29875,104300,335,36.093869500000004,-79.4366101,2018,,,
2231,889,45446,153300,1071,36.1185305,-79.4787097,27,,,
1325,547,57708,157400,588,36.105154399999996,-79.4792253,38,,,
2771,1035,32276,122300,1133,36.114312700000006,-79.4516953,30,,,
651,232,36641,60400,258,36.1035555,-79.4405978,64,,,
800,247,27139,74700,247,36.1096227,-79.4602229,54,,,
891,391,71107,201200,391,36.0956641,-79.4825504,49,,,
956,423,89680,260400,450,36.0922418,-79.4903918,53,,,
1313,566,89444,215700,620,36.085411,-79.4751228,51,,,
745,294,54653,85500,294,36.1039902,-79.4587156,64,,,
1788,915,62132,167000,1003,36.0941794,-79.4652879,53,,,
912,485,55891,104000,551,36.078729200000005,-79.4871056,21,,,
1163,606,35588,148200,674,36.0759593,-79.470947,40,,,
1561,584,,165900,624,36.0623593,-79.4810442,18,,,
1251,602,44247,138600,646,36.0778925,-79.4581525,56,,,
1099,600,38654,113000,600,36.0736811,-79.4512964,42,,,
1238,429,25565,123600,535,36.056576,-79.4625633,19,,,
828,293,45813,113000,336,36.0673755,-79.4337258,52,,,
574,313,21172,,313,36.0866571,-79.4314481,61,,,
1622,631,29433,78000,696,36.0837529,-79.4356526,63,,,
593,254,,,301,36.07819979999999,-79.4248183,57,,,
653,361,24273,54800,431,36.0806445,-79.4176261,56,,,
1036,545,36681,101100,551,36.0663562,-79.4071378,62,,,
1003,415,44821,119700,460,36.0542266,-79.4072166,41,,,
1990,813,56553,159200,813,36.0295019,-79.4190372,20,,,
1554,636,55972,166000,675,36.0365091,-79.4036694,32,,,
1717,722,45671,130200,776,36.0659711,-79.371313,36,,,
494,202,25900,134700,223,36.0626783,-79.3874283,59,,,
